id,pred
2013_1103_1107,0.647016423391
2013_1103_1112,0.606668312449
2013_1103_1125,0.411946081018
2013_1103_1129,0.671897437787
2013_1103_1137,0.568839591511
2013_1103_1139,0.611685419606
2013_1103_1143,0.643577661895
2013_1103_1153,0.555814836611
2013_1103_1160,0.617620727814
2013_1103_1161,0.638287232885
2013_1103_1166,0.5
2013_1103_1172,0.5404983037
2013_1103_1181,0.520575458365
2013_1103_1195,0.671269567633
2013_1103_1196,0.582871774428
2013_1103_1207,0.469073590352
2013_1103_1211,0.593878058018
2013_1103_1217,0.428719974492
2013_1103_1228,0.600593015715
2013_1103_1231,0.577123629755
2013_1103_1233,0.5
2013_1103_1235,0.624216909936
2013_1103_1241,0.702945182546
2013_1103_1242,0.537761000844
2013_1103_1243,0.64450505674
2013_1103_1247,0.630224254832
2013_1103_1251,0.668175217911
2013_1103_1254,0.602185676085
2013_1103_1257,0.586912683868
2013_1103_1266,0.587327974403
2013_1103_1272,0.599003141096
2013_1103_1274,0.728268872221
2013_1103_1276,0.630607422581
2013_1103_1277,0.522434325167
2013_1103_1278,0.712502747123
2013_1103_1279,0.589011047039
2013_1103_1281,0.485116731924
2013_1103_1285,0.634950998194
2013_1103_1292,0.565769722572
2013_1103_1299,0.666745081516
2013_1103_1301,0.627633684226
2013_1103_1307,0.569390534441
2013_1103_1308,0.51003886442
2013_1103_1314,0.449468638966
2013_1103_1322,0.692203688109
2013_1103_1323,0.581367673841
2013_1103_1326,0.616049203655
2013_1103_1328,0.657957691207
2013_1103_1329,0.654952523819
2013_1103_1332,0.634187910517
2013_1103_1334,0.708492179544
2013_1103_1338,0.676046929582
2013_1103_1355,0.595653625201
2013_1103_1361,0.651526670616
2013_1103_1380,0.648818717439
2013_1103_1387,0.486555785996
2013_1103_1388,0.615622178025
2013_1103_1393,0.575560777486
2013_1103_1396,0.584717284068
2013_1103_1417,0.607532011208
2013_1103_1424,0.613639054472
2013_1103_1433,0.5
2013_1103_1434,0.581488496288
2013_1103_1437,0.660208158104
2013_1103_1443,0.672721574869
2013_1103_1455,0.560702546341
2013_1103_1458,0.371270300076
2013_1107_1112,0.361058904376
2013_1107_1125,0.329460239405
2013_1107_1129,0.466499006106
2013_1107_1137,0.601798746954
2013_1107_1139,0.444446127074
2013_1107_1143,0.301766353575
2013_1107_1153,0.357930162507
2013_1107_1160,0.399795796442
2013_1107_1161,0.415454810947
2013_1107_1166,0.349551697485
2013_1107_1172,0.27136208739
2013_1107_1181,0.334452468033
2013_1107_1195,0.535368699755
2013_1107_1196,0.240373211435
2013_1107_1207,0.239471969672
2013_1107_1211,0.259332375993
2013_1107_1217,0.37623651158
2013_1107_1228,0.363577807671
2013_1107_1231,0.269540070883
2013_1107_1233,0.334793922878
2013_1107_1235,0.33365673237
2013_1107_1241,0.598682074358
2013_1107_1242,0.256487660669
2013_1107_1243,0.286928330346
2013_1107_1247,0.424591529131
2013_1107_1251,0.589864914252
2013_1107_1254,0.5
2013_1107_1257,0.392143593593
2013_1107_1266,0.251812427479
2013_1107_1272,0.354851548757
2013_1107_1274,0.512604334906
2013_1107_1276,0.375901840623
2013_1107_1277,0.267435435257
2013_1107_1278,0.484289096528
2013_1107_1279,0.315192953998
2013_1107_1281,0.252221617156
2013_1107_1285,0.423726593853
2013_1107_1292,0.331030370989
2013_1107_1299,0.513768525805
2013_1107_1301,0.432372443424
2013_1107_1307,0.232737034607
2013_1107_1308,0.294825794316
2013_1107_1314,0.28872764937
2013_1107_1322,0.429492712376
2013_1107_1323,0.546929384861
2013_1107_1326,0.253128147856
2013_1107_1328,0.422726107339
2013_1107_1329,0.414857641018
2013_1107_1332,0.351331033661
2013_1107_1334,0.482323038471
2013_1107_1338,0.465300280875
2013_1107_1355,0.365353385763
2013_1107_1361,0.373017918868
2013_1107_1380,0.412776368585
2013_1107_1387,0.243427985478
2013_1107_1388,0.299423040138
2013_1107_1393,0.280071686982
2013_1107_1396,0.454459709394
2013_1107_1417,0.371171568248
2013_1107_1424,0.381624020862
2013_1107_1433,0.271696180541
2013_1107_1434,0.565271601986
2013_1107_1437,0.55290585233
2013_1107_1443,0.543053298413
2013_1107_1455,0.300257889863
2013_1107_1458,0.341676195349
2013_1112_1125,0.363807281494
2013_1112_1129,0.530050608037
2013_1112_1137,0.674874386618
2013_1112_1139,0.567368279466
2013_1112_1143,0.47783403582
2013_1112_1153,0.5
2013_1112_1160,0.541440506177
2013_1112_1161,0.56269866774
2013_1112_1166,0.494261956186
2013_1112_1172,0.402961240167
2013_1112_1181,0.485772203949
2013_1112_1195,0.690361617782
2013_1112_1196,0.290911720256
2013_1112_1207,0.332065234884
2013_1112_1211,0.317244224835
2013_1112_1217,0.491749717631
2013_1112_1228,0.563132253157
2013_1112_1231,0.389481790606
2013_1112_1233,0.485952349678
2013_1112_1235,0.490594389602
2013_1112_1241,0.700479764065
2013_1112_1242,0.357696020237
2013_1112_1243,0.334603226704
2013_1112_1247,0.378280944747
2013_1112_1251,0.535968543893
2013_1112_1254,0.575571567353
2013_1112_1257,0.492922336276
2013_1112_1266,0.346392038215
2013_1112_1272,0.343467372972
2013_1112_1274,0.430666155641
2013_1112_1276,0.343912308352
2013_1112_1277,0.322031572698
2013_1112_1278,0.41249290183
2013_1112_1279,0.478889052862
2013_1112_1281,0.272580231618
2013_1112_1285,0.539307990582
2013_1112_1292,0.432769740171
2013_1112_1299,0.696105275508
2013_1112_1301,0.515958831245
2013_1112_1307,0.30439424749
2013_1112_1308,0.429534666121
2013_1112_1314,0.371770776868
2013_1112_1322,0.510619475951
2013_1112_1323,0.538723213418
2013_1112_1326,0.271108772418
2013_1112_1328,0.573029761811
2013_1112_1329,0.677869495605
2013_1112_1332,0.458110458312
2013_1112_1334,0.703953374954
2013_1112_1338,0.559438521253
2013_1112_1355,0.335694265432
2013_1112_1361,0.435413512233
2013_1112_1380,0.622934705433
2013_1112_1387,0.304311897922
2013_1112_1388,0.342749160678
2013_1112_1393,0.369152900668
2013_1112_1396,0.563104058583
2013_1112_1417,0.48204371052
2013_1112_1424,0.387031782552
2013_1112_1433,0.379959340752
2013_1112_1434,0.707650668156
2013_1112_1437,0.672601480226
2013_1112_1443,0.689082717479
2013_1112_1455,0.405745572648
2013_1112_1458,0.469844464031
2013_1125_1129,0.67008409052
2013_1125_1137,0.649648142988
2013_1125_1139,0.57777771229
2013_1125_1143,0.556508828395
2013_1125_1153,0.631368693217
2013_1125_1160,0.645249924619
2013_1125_1161,0.623774776212
2013_1125_1166,0.580388161919
2013_1125_1172,0.548815773189
2013_1125_1181,0.546225141353
2013_1125_1195,0.637355959129
2013_1125_1196,0.556080631577
2013_1125_1207,0.539015567608
2013_1125_1211,0.543799416957
2013_1125_1217,0.611937212222
2013_1125_1228,0.636402187646
2013_1125_1231,0.579108418296
2013_1125_1233,0.521711343155
2013_1125_1235,0.575120765222
2013_1125_1241,0.711224077541
2013_1125_1242,0.437250284664
2013_1125_1243,0.612792705342
2013_1125_1247,0.665807855646
2013_1125_1251,0.737488457289
2013_1125_1254,0.659417523336
2013_1125_1257,0.629195702873
2013_1125_1266,0.582466566819
2013_1125_1272,0.59450451642
2013_1125_1274,0.705349404166
2013_1125_1276,0.664596924117
2013_1125_1277,0.482130641986
2013_1125_1278,0.731046152937
2013_1125_1279,0.626055569192
2013_1125_1281,0.536679184504
2013_1125_1285,0.612690188969
2013_1125_1292,0.559733900405
2013_1125_1299,0.640479860529
2013_1125_1301,0.540095348156
2013_1125_1307,0.507730635654
2013_1125_1308,0.540762577128
2013_1125_1314,0.558013951132
2013_1125_1322,0.704508681634
2013_1125_1323,0.687578556794
2013_1125_1326,0.57264771962
2013_1125_1328,0.662339880542
2013_1125_1329,0.663310017076
2013_1125_1332,0.643173567089
2013_1125_1334,0.650327994499
2013_1125_1338,0.632543159207
2013_1125_1355,0.534503220084
2013_1125_1361,0.63017322276
2013_1125_1380,0.618680835122
2013_1125_1387,0.521987888664
2013_1125_1388,0.552172732355
2013_1125_1393,0.517483682755
2013_1125_1396,0.582911564022
2013_1125_1417,0.616424051637
2013_1125_1424,0.585143711791
2013_1125_1433,0.531322243331
2013_1125_1434,0.682188450558
2013_1125_1437,0.652671628358
2013_1125_1443,0.696553147699
2013_1125_1455,0.487341711297
2013_1125_1458,0.543564086008
2013_1129_1137,0.594229337612
2013_1129_1139,0.5
2013_1129_1143,0.43938997233
2013_1129_1153,0.364870297366
2013_1129_1160,0.422809774568
2013_1129_1161,0.456207329143
2013_1129_1166,0.342235932671
2013_1129_1172,0.352321942793
2013_1129_1181,0.353979248858
2013_1129_1195,0.525294000248
2013_1129_1196,0.401288080166
2013_1129_1207,0.329262875841
2013_1129_1211,0.393129531647
2013_1129_1217,0.332765565512
2013_1129_1228,0.4086863496
2013_1129_1231,0.354744685815
2013_1129_1233,0.422401152489
